GHGRP 1,Company,Facility,Subsector,Extraction Technology,Product,AER Approval 1,Year,Cogen_Adjusted_Emission,Production,Emission_Intensity
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2011,476090.0,775990,0.614
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2011,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2011,0.0,0,0.0
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2011,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2011,455570.0,1301979,0.35
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2011,312189.0,276749,1.128
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2011,4200745.0,9270347,0.453
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2011,1677723.0,3454235,0.486
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2011,1828331.0,6364992,0.287
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2011,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2011,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2011,255906.0,382394,0.669
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2011,873224.0,2004668,0.436
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2011,0.0,0,0.0
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2011,260858.0,585341,0.446
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2011,0.0,0,0.0
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2011,2392960.0,1772951,1.35
